label_name,bbox_x,bbox_y,bbox_width,bbox_height
A1,855,682,133,125
A2,776,689,100,128
A3,687,683,93,130
A4,610,687,88,133
A5,504,685,94,133
A6,424,690,86,131
A7,322,690,103,131
A8,215,690,132,135
B1,845,620,120,110
B2,772,614,98,112
B3,692,618,90,115
B4,608,617,83,114
B5,510,619,92,116
B6,418,620,98,116
B7,331,624,105,114
B8,230,620,121,117
C1,840,546,104,100
C2,760,549,89,104
C3,683,543,84,109
C4,608,542,83,106
C5,520,546,85,111
C6,430,550,92,110
C7,350,552,86,108
C8,256,558,107,106
D1,830,466,107,112
D2,755,468,88,108
D3,680,467,82,106
D4,600,460,80,120
D5,520,467,77,115
D6,440,466,76,122
D7,362,472,90,116
D8,274,478,96,112
E1,824,400,84,110
E2,748,400,74,116
E3,674,400,74,110
E4,600,400,74,115
E5,525,404,74,113
E6,445,411,79,110
E7,370,414,79,108
E8,290,420,87,106
F1,815,346,81,102
F2,743,344,74,106
F3,672,347,74,106
F4,600,343,72,110
F5,524,345,78,111
F6,452,352,74,104
F7,385,358,72,107
F8,305,350,79,115
G1,808,265,74,120
G2,740,271,71,120
G3,669,270,73,122
G4,600,273,69,122
G5,528,275,71,122
G6,457,286,74,116
G7,398,292,72,113
G8,320,293,77,113
H1,800,224,80,112
H2,740,221,69,118
H3,668,220,69,122
H4,597,216,70,126
H5,532,215,69,129
H6,465,221,67,126
H7,400,227,64,122
H8,330,234,71,115
